#iterationNumber	#varNumber	#clauseNumber	#itertionTime
1	17299	45217	0.2773s
2	30769	52881	0.09503s
3	44239	88265	0.1148s
4	57709	76422	0.1216s
5	71179	87527	0.1235s
6	84649	99066	0.1522s
7	98119	110261	0.1404s
8	111589	121608	0.1341s
9	125059	132376	0.1553s
10	138529	143886	0.1545s
11	151999	154466	0.233s
12	165469	164778	0.1369s
13	178939	200102	0.1422s
14	192409	235426	0.1671s
15	205879	198600	0.1715s
16	219349	209477	0.1786s
17	232819	244797	0.1729s
18	246289	231975	0.1798s
19	259759	267295	0.1691s
20	273229	254594	0.2415s
21	286699	265988	0.2139s
22	300169	277231	0.1978s
23	313639	312545	0.348s
24	327109	299944	0.2381s
25	340579	310989	0.2165s
26	354049	346299	0.5774s
27	367519	332337	0.2187s
28	380989	367633	0.2864s
29	394459	353902	0.3215s
30	407929	363248	0.1996s
31	421399	398530	0.2153s
32	434869	433812	0.2275s
33	448339	396588	0.3767s
34	461809	407070	0.4125s
35	475279	415395	0.5412s
36	488749	425521	0.4681s
37	502219	436831	0.4322s
38	515689	447936	0.5764s
39	529159	458427	0.3037s
40	542629	469875	0.5061s
41	556099	480734	0.3573s
42	569569	491073	0.2903s
43	583039	526317	0.4697s
44	596509	513168	0.2973s
45	609979	521680	0.4869s
46	623449	532438	0.3634s
47	636919	542522	0.5704s
48	650389	536730	0.2834s
49	663859	571872	0.3642s
50	677329	548241	0.3261s
51	690799	583381	0.287s
52	704269	618521	0.9284s
53	717739	568103	0.7524s
54	731209	577451	0.6541s
55	744679	580132	0.3585s
56	758149	615164	0.6288s
57	771619	579138	0.3724s
58	785089	614148	0.3074s
59	798559	649158	0.3077s
60	812029	684166	0.5276s
61	825499	615542	0.7479s
62	838969	617274	0.7309s
63	852439	623389	1.102s
64	865909	605223	0.3798s
65	879379	640113	0.8322s
66	892849	614594	0.3993s
67	906319	623097	0.6214s
68	919789	625308	0.6198s
69	933259	631482	0.8396s
70	946729	637392	0.6328s
71	960199	645430	1.59s
#This is the last UNSAT round.
