#iterationNumber	varNumber	clauseNumber	itertionTime
1	5577	14190	0.1461s
2	9511	15201	0.04204s
3	13445	24523	0.04341s
4	17379	33845	0.04755s
5	21313	19787	0.04568s
6	25247	29107	0.04842s
7	29181	22473	0.04808s
8	33115	31791	0.0547s
9	37049	25083	0.05405s
10	40983	34391	0.05416s
11	44917	27721	0.05317s
12	48851	37029	0.05562s
13	52785	46337	0.06321s
14	56719	32370	0.06517s
15	60653	33740	0.06303s
16	64587	43044	0.06513s
17	68521	36624	0.08506s
18	72455	37283	0.1459s
19	76389	34475	0.07169s
20	80323	35344	0.06677s
21	84257	44594	0.08369s
This is the last UNSAT round.
