#iterationNumber	varNumber	clauseNumber	itertionTime
1	3352	8430	0.05659s
2	6500	10754	0.02274s
3	9648	19178	0.02709s
4	12796	27602	0.03182s
5	15944	26628	0.0322s
6	19092	31948	0.03298s
7	22240	37310	0.02403s
8	25388	45732	0.05113s
9	28536	47981	0.03246s
10	31684	53317	0.04869s
11	34832	61733	0.09285s
12	37980	63841	0.04092s
13	41128	68725	0.05843s
14	44276	73447	0.09161s
15	47424	77523	0.1135s
16	50572	81056	0.06272s
17	53720	85472	0.06749s
18	56868	93848	0.1608s
19	60016	94121	0.04729s
20	63164	102485	0.05787s
21	66312	110849	0.1423s
22	69460	108190	0.1002s
23	72608	113081	0.2956s
24	75756	117826	0.1456s
25	78904	122587	0.05728s
26	82052	127526	0.3966s
27	85200	130761	0.06171s
28	88348	139113	0.2255s
29	91496	140311	0.1441s
30	94644	148655	0.08901s
31	97792	147980	0.1015s
32	100940	156324	0.1262s
33	104088	164668	0.1046s
34	107236	173012	0.3338s
35	110384	160533	0.3117s
36	113532	165308	0.09057s
37	116680	169854	0.09129s
38	119828	178176	0.07262s
39	122976	186498	0.07129s
40	126124	194820	0.09523s
41	129272	203142	0.124s
42	132420	192310	0.1856s
43	135568	196957	0.1018s
44	138716	205279	0.0881s
45	141864	213601	0.08785s
46	145012	210666	0.08331s
47	148160	218988	0.09536s
48	151308	227310	0.1109s
49	154456	235632	0.09944s
50	157604	228527	0.1083s
51	160752	236849	0.09164s
52	163900	245171	0.1453s
53	167048	241689	0.08349s
54	170196	250007	0.1175s
55	173344	258325	0.2522s
56	176492	254017	0.1711s
57	179640	258436	0.2086s
58	182788	262393	0.1135s
59	185936	270545	0.1522s
60	189084	188771	0.1817s
61	192232	192039	0.1642s
62	195380	192931	0.3206s
63	198528	190851	0.1263s
64	201676	186624	0.1236s
65	204824	194736	0.07899s
66	207972	202848	0.1221s
67	211120	190373	0.1247s
68	214268	198473	0.1949s
69	217416	166915	0.08716s
This is the last UNSAT round.
