#iterationNumber	varNumber	clauseNumber	itertionTime
1	6176	15486	0.1005s
2	12148	21011	0.05591s
3	18120	37291	0.07524s
4	24092	43428	0.06328s
5	30064	59690	0.06226s
6	36036	66204	0.08174s
7	42008	82442	0.08136s
8	47980	87083	0.07881s
9	53952	103321	0.166s
10	59924	108845	0.1634s
11	65896	119070	0.1298s
12	71868	129992	0.09419s
13	77840	141111	0.3053s
14	83812	150677	0.2621s
15	89784	159257	0.1054s
16	95756	169945	0.2608s
17	101728	176714	0.1883s
18	107700	186993	0.1646s
19	113672	196567	0.2493s
20	119644	204318	0.1315s
21	125616	214693	0.1364s
22	131588	230825	0.4099s
23	137560	233767	0.3361s
24	143532	243622	0.1389s
25	149504	259746	0.3628s
26	155476	264216	0.1152s
27	161448	280340	0.1215s
28	167420	284582	0.1455s
29	173392	300706	0.322s
30	179364	305144	0.3462s
31	185336	314253	0.6448s
32	191308	323993	0.673s
33	197280	331594	0.2373s
34	203252	347698	0.5166s
35	209224	350317	0.4257s
36	215196	359915	0.6649s
37	221168	370179	0.2634s
38	227140	380412	0.7924s
39	233112	390250	1.182s
40	239084	400081	0.1878s
41	245056	410182	0.773s
42	251028	420151	0.4625s
43	257000	430139	0.3748s
44	262972	434845	0.5199s
45	268944	444835	0.2856s
46	274916	454581	3.778s
47	280888	461478	0.3466s
48	286860	477554	0.6449s
49	292832	466664	0.2478s
50	298804	482622	0.2699s
51	304776	498574	0.262s
52	310748	514526	0.242s
53	316720	465174	0.2602s
54	322692	481126	0.3056s
55	328664	497074	0.2141s
56	334636	489544	0.2721s
57	340608	505488	0.2192s
58	346580	521432	0.2934s
59	352552	537376	0.2988s
60	358524	524629	0.5345s
61	364496	540399	0.386s
62	370468	438265	0.3453s
63	376440	454013	0.3138s
64	382412	432126	0.2849s
65	388384	447840	0.2818s
66	394356	430326	0.3054s
67	400328	446016	0.2179s
68	406300	461706	0.239s
69	412272	446715	0.3274s
70	418244	462363	0.2176s
71	424216	478011	0.3066s
72	430188	433162	0.1919s
73	436160	448582	0.07023s
This is the last UNSAT round.
